name,owned,id,start_date,end_date,year
Byeong-Hun An,9.78,179,2018-08-31,2018-09-03,2018
Jason Kokrak,9.66,179,2018-08-31,2018-09-03,2018
Charles Howell,9,179,2018-08-31,2018-09-03,2018
Abraham Ancer,8.82,179,2018-08-31,2018-09-03,2018
J.J. Spaun,8.46,179,2018-08-31,2018-09-03,2018
Luke List,8.4,179,2018-08-31,2018-09-03,2018
Beau Hossler,8.22,179,2018-08-31,2018-09-03,2018
Austin Cook,8.16,179,2018-08-31,2018-09-03,2018
Nick Watney,7.86,179,2018-08-31,2018-09-03,2018
Brandt Snedeker,7.74,179,2018-08-31,2018-09-03,2018
Anirban Lahiri,7.68,179,2018-08-31,2018-09-03,2018
Aaron Wise,7.5,179,2018-08-31,2018-09-03,2018
Jhonattan Vegas,7.26,179,2018-08-31,2018-09-03,2018
Adam Scott,7.08,179,2018-08-31,2018-09-03,2018
Louis Oosthuizen,7.08,179,2018-08-31,2018-09-03,2018
Daniel Berger,6.72,179,2018-08-31,2018-09-03,2018
Kevin Chappell,6.48,179,2018-08-31,2018-09-03,2018
Chesson Hadley,6.36,179,2018-08-31,2018-09-03,2018
Kevin Kisner,6.3,179,2018-08-31,2018-09-03,2018
Bronson Burgoon,5.88,179,2018-08-31,2018-09-03,2018
Adam Hadwin,5.64,179,2018-08-31,2018-09-03,2018
Jimmy Walker,5.34,179,2018-08-31,2018-09-03,2018
Danny Lee,5.34,179,2018-08-31,2018-09-03,2018
Si Woo Kim,5.22,179,2018-08-31,2018-09-03,2018
Russell Knox,5.04,179,2018-08-31,2018-09-03,2018
James Hahn,4.86,179,2018-08-31,2018-09-03,2018
Kelly Kraft,4.68,179,2018-08-31,2018-09-03,2018
Troy Merritt,4.62,179,2018-08-31,2018-09-03,2018
Andrew Landry,4.56,179,2018-08-31,2018-09-03,2018
Scott Stallings,4.56,179,2018-08-31,2018-09-03,2018
Scott Piercy,4.32,179,2018-08-31,2018-09-03,2018
Brendan Steele,4.26,179,2018-08-31,2018-09-03,2018
Ryan Armour,4.2,179,2018-08-31,2018-09-03,2018
Jason Dufner,4.14,179,2018-08-31,2018-09-03,2018
Peter Uihlein,3.48,179,2018-08-31,2018-09-03,2018
Ryan Palmer,3.12,179,2018-08-31,2018-09-03,2018
