tour,start_date,end_date,draftkings.name,salary,add_timestamp
The Honda Classic,2020-02-27,2020-03-01,Jason Kokrak,7500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Kyoung-Hoon Lee,7000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Hank Lebioda,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Sam Burns,7100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Kyle Stanley,7200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Vincent Whaley,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,J.J. Spaun,6200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Scott Brown,6500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Peter Malnati,6600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Aaron Wise,6900,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Ryan Armour,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Jimmy Walker,6400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Si Woo Kim,6400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Austin Cook,6300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Grayson Murray,6700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Matt Every,6200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,C.T. Pan,6400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Greg Chalmers,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Brandon Hagy,6500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Patton Kizzire,6200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Chris Stroud,6200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Michael Gligic,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Ted Potter Jr.,6600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Doug Ghim,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Michael Thompson,6600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Jason Dufner,6400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Charl Schwartzel,8100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Chris Baker,6100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Sepp Straka,6300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Kramer Hickok,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Roger Sloan,6200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Chris Kirk,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Arjun Atwal,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Jamie Lovemark,6300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Lucas Bjerregaard,6400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Tom Lewis,7200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Jim Herman,6200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Padraig Harrington,6300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Mackenzie Hughes,6100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Satoshi Kodaira,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Bo Van Pelt,6100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Seung-Yul Noh,6100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Martin Trainer,6100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Justin Bertsch,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Davis Love III,6100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Vijay Singh,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Camilo Villegas,6500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Hayden Buckley,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Andrew McCain,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Daniel Wetterich,6000,2020-02-25T21:31:28Z
